"Template","1","2","3","4","5","6","7","8","9","10","11","12"
"A","BG_sub_blank","NAG_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB2.5","quench_MUB2.6",NA,NA,"Hombl","Buf"
"B","BG_sub_blank","NAG_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB2.5","quench_MUB2.6",NA,NA,"Hombl","Buf"
"C","BG_sub_blank","NAG_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB1.25","quench_MUB1.26",NA,NA,"Hombl","Buf"
"D","BG_sub_blank","NAG_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB1.25","quench_MUB1.26",NA,NA,"Hombl","Buf"
"E","P_sub_blank","Cello_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB0.625","quench_MUB0.626",NA,NA,"Hombl","Buf"
"F","P_sub_blank","Cello_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB0.625","quench_MUB0.626",NA,NA,"Hombl","Buf"
"G","P_sub_blank","Cello_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB0.16","quench_MUB0.17",NA,NA,"Hombl","Buf"
"H","P_sub_blank","Cello_sub_blank","BG_assay","P_assay","NAG_assay","Cello_assay","quench_MUB0.16","quench_MUB0.17",NA,NA,"Hombl","Buf"
"","","","","","","","","",NA,NA,"",""
"Bad_wells","1","2","3","4","5","6","7","8","9","10","11","12"
"A","","","","","","","","",NA,NA,"",""
"B","","","","","","","","",NA,NA,"",""
"C","","","","","","","","",NA,NA,"",""
"D","","","","","","","","",NA,NA,"",""
"E","","","","","","","","",NA,NA,"",""
"F","","","","","","","","",NA,NA,"",""
"G","","","","","","","","",NA,NA,"",""
"H","","","","","","","","",NA,NA,"",""
"","","","","","","","","",NA,NA,"",""
"conc_uM","1","2","3","4","5","6","7","8","9","10","11","12"
"A","","","","","","","mub_2.5","mub_2.5",NA,NA,"",""
"B","","","","","","","mub_2.5","mub_2.5",NA,NA,"",""
"C","","","","","","","mub_1.25","mub_1.25",NA,NA,"",""
"D","","","","","","","mub_1.25","mub_1.25",NA,NA,"",""
"E","","","","","","","mub_0.625","mub_0.625",NA,NA,"",""
"F","","","","","","","mub_0.625","mub_0.625",NA,NA,"",""
"G","","","","","","","mub_0.16","mub_0.16",NA,NA,"",""
"H","","","","","","","mub_0.16","mub_0.16",NA,NA,"",""
"","","","","","","","","",NA,NA,"",""
"Data","1","2","3","4","5","6","7","8","9","10","11","12"
"A","493","523","372","399","786","995","3131","3328","1717","10075","68","68"
"B","452","430","307","286","528","640","3494","2402","2284","9167","72","66"
"C","298","320","217","221","1034","957","1841","2330","824","4148","72","70"
"D","187","192","140","138","887","617","1767","2049","715","5109","80","66"
"E","118","121","93","97","613","520","2057","1003","330","2404","71","68"
"F","87","101","71","73","238","360","354","596","373","2580","75","63"
"G","76","82","63","59","115","87","93","78","146","628","74","65"
"H","76","69","58","53","183","155","95","76","122","699","72","66"
