plate_id,ph_buffer,moist_soil_mass_g,vol_buffer_slurry_ml,substrates,tin,tin_moist,tin_dry,time_soil_added,time_naoh_added,time_plate_read
mg_2006,6.5,0.519,50,C-B-N-P,2.67,10,8.77,12:00,13:00,13:00
mg_2008,6.5,0.4995,50,C-B-N-P,2.68,9.97,8.96,12:00,13:00,13:00
mg_2014,6.5,0.4954,50,C-B-N-P,2.63,12.75,11.25,12:00,13:00,13:00
mg_2016,6.5,0.4977,50,C-B-N-P,2.65,13.2,11.76,12:00,13:00,13:00
mg_2022,6.5,0.5104,50,C-B-N-P,2.62,12.69,10.52,12:00,13:00,13:00
mg_2024,6.5,0.5136,50,C-B-N-P,2.66,12.63,10.43,12:00,13:00,13:00
mg_2050,6.5,0.5287,50,C-B-N-P,2.68,13,11.79,12:00,13:00,13:00
mg_2051,6.5,0.4967,50,C-B-N-P,2.67,12.53,10.91,12:00,13:00,13:00
mg_2082,6.5,0.4798,50,C-B-N-P,2.65,12.52,11.22,12:00,13:00,13:00
mg_2083,6.5,0.5242,50,C-B-N-P,2.64,12.63,11.32,12:00,13:00,13:00
mg_2090,6.5,0.4994,50,C-B-N-P,2.68,12.67,11.65,12:00,13:00,13:00
mg_2092,6.5,0.4812,50,C-B-N-P,2.64,12.57,11.66,12:00,13:00,13:00
plate_b,6.5,,,,,,,,,
