Template,1,2,3,4,5,6,7,8,9,10,11,12
A,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB2.5,quench_MUB2.6,,,Hombl,Buf
B,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB2.5,quench_MUB2.6,,,Hombl,Buf
C,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB1.25,quench_MUB1.26,,,Hombl,Buf
D,BG-sub-blank,NAG-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB1.25,quench_MUB1.26,,,Hombl,Buf
E,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.625,quench_MUB0.626,,,Hombl,Buf
F,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.625,quench_MUB0.626,,,Hombl,Buf
G,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.16,quench_MUB0.17,,,Hombl,Buf
H,P-sub-blank,Cello-sub-blank,BG-assay,P-assay,NAG-assay,Cello-assay,quench_MUB0.16,quench_MUB0.17,,,Hombl,Buf
,,,,,,,,,,,,
Data,1,2,3,4,5,6,7,8,9,10,11,12
A,501,713,1755,10428,893,540,9561,9255,99,99,112,61
B,516,678,1491,14002,775,553,10058,10009,103,101,113,61
C,501,680,1668,13374,762,566,5131,4860,101,98,112,61
D,504,671,1486,11180,793,582,5230,5152,98,98,110,61
E,9683,761,1509,11009,790,551,2595,2376,100,100,113,60
F,9793,763,1444,10830,754,592,2553,2524,101,100,113,59
G,9986,749,1541,11810,822,536,725,705,101,100,113,62
H,9411,749,1658,11296,937,552,762,762,102,103,116,65
,,,,,,,,,,,,
Bad_wells,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
conc_uM,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,mub_2.5,mub_2.5,,,,
B,,,,,,,mub_2.5,mub_2.5,,,,
C,,,,,,,mub_1.25,mub_1.25,,,,
D,,,,,,,mub_1.25,mub_1.25,,,,
E,,,,,,,mub_0.625,mub_0.625,,,,
F,,,,,,,mub_0.625,mub_0.625,,,,
G,,,,,,,mub_0.16,mub_0.16,,,,
H,,,,,,,mub_0.16,mub_0.16,,,,
